id,text,estimated_label
1030,گر از حدیث تو کوته کنم زبان امید,saadi
1031, یاد باد آن که ز ما وقت سفر یاد نکرد,hafez
1032,که سرفرازی عالم در این کله دانست,hafez
1033,عیدست و آنک ابروی همچون هلال دوست,saadi
1034,کز رقت اندرون ضعیفم چو جام شد,saadi
1035,سهل است تلخی می در جنب ذوق مستی,hafez
1036,همخانه من باشی و همسایه نداند,saadi
1037,ای محتسب از جوان چه خواهی,hafez
1038,که بی وجود شریفت جهان نمی‌بینم,saadi
1039,تهمتی بر شب روان خیل خواب انداختی,hafez
1040,در روی خود تفرج صنع خدای کن,saadi
1041,هر که هوا گرفت و رفت از پی آرزوی دل,hafez
1042,کز منطق آن شکرفشان است,hafez
1043,هر که درمان می‌پذیرد یا نصیحت می‌نیوشد,saadi
1044,خود شرم نمی‌آیدش از ننگ بضاعت,saadi
1045,کی روی ره ز که پرسی چه کنی چون باشی,hafez
1046,لیکن این هست که این نسخه سقیم افتادست,hafez
1047,مرغ عاشق بریده پر باشد,hafez
1048,ای برادر غم عشق آتش نمرود انگار,saadi
1049,تنش درست و دلش شاد باد و خاطر خوش,hafez
1050,مسند خواجگی و مجلس تورانشاهی,hafez
1051,فی الجمله می‌کنی و فرو می‌گذارمت,hafez
1052,پاره گرداند زلیخای صبا,saadi
1053,در دولت خاقان نتوان کرد خلافت,saadi
1054,که بگرفت این شب یلدا ملال از ماه و پروینم,saadi
1055,که عجب دارم اگر تخته به ساحل برود,saadi
1056,بر رخ او نظر از آینه پاک انداز,hafez
1057,اگر چه هر چه جهانت به دل خریدارند,saadi
1058,آن کس که به دست جام دارد,hafez
1059,دعای صبح و آه شب کلید گنج مقصود است,hafez
1060,ور چو پروانه دهد دست فراغ بالی,saadi
1061,که مونس دم صبحم دعای دولت توست,hafez
1062,ما و چراغ چشم و ره انتظار دوست,hafez
1063,یار دیرینه ببینید که با یار چه کرد,hafez
1064,شاهد ما آیتیست وین همه تفسیر او,hafez
1065,گاه گویم که بنالم ز پریشانی حالم,saadi
1066,باشد که گذر باشد یک روز بر آن خاکت,saadi
1067,شرممان باد ز پشمینه آلوده خویش,hafez
1068,چو خود بیاید عذرش بباید آوردن,saadi
1069,به فیض جرعه جام تو تشنه‌ایم ولی,hafez
1070,که نه کاریست شکیبایی و اندهناکی,saadi
1071,اگر خاک وی اندر دیده مالی,saadi
1072,یا رب این آتش که در جان من است,hafez
1073,عزم سبک عنان تو در جنبش آورد,hafez
1074,یا گناهیست که اول من مسکین کردم,saadi
1075,امشب سبکتر می‌زنند این طبل بی‌هنگام را,saadi
1076,کس ندیدست آدمیزاد از تو شیرین‌تر سخن,saadi
1077,نگاه دار سر رشته تا نگه دارد,hafez
1078,دلت نسوخت که مسکین امیدوار منست,saadi
1079,عوام خلق ملامت کنند صوفی را,saadi
1080,که التفات کند کمترین گدایی را,saadi
1081,اگر چه مالک رقی و پادشاه به حقی,saadi
1082,پرده پرهیزکنان می‌دری,saadi
